id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Halobacterium_litoreum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/233/415/GCF_021233415.1_ASM2123341v1/GCF_021233415.1_ASM2123341v1_genomic.fna.gz	ASM2123341v1	Halobacterium litoreum	GCF_021233415.1	2039234	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_noricense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/233/435/GCF_021233435.1_ASM2123343v1/GCF_021233435.1_ASM2123343v1_genomic.fna.gz	ASM2123343v1	Halobacterium noricense	GCF_021233435.1	223182	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/605/GCF_004799605.1_ASM479960v1/GCF_004799605.1_ASM479960v1_genomic.fna.gz	ASM479960v1	Halobacterium salinarum	GCF_004799605.1	2242	3179757631296677	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobaculum_halophilum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/401/515/GCF_013401515.1_ASM1340151v1/GCF_013401515.1_ASM1340151v1_genomic.fna.gz	ASM1340151v1	Halobaculum halophilum	GCF_013401515.1	2743090	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobaculum	NA	NA	NA
Halobaculum_magnesiiphilum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/823/105/GCF_019823105.1_ASM1982310v1/GCF_019823105.1_ASM1982310v1_genomic.fna.gz	ASM1982310v1	Halobaculum magnesiiphilum	GCF_019823105.1	1017351	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobaculum	NA	NA	NA
Halobaculum_roseum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/880/245/GCF_019880245.1_ASM1988024v1/GCF_019880245.1_ASM1988024v1_genomic.fna.gz	ASM1988024v1	Halobaculum roseum	GCF_019880245.1	2175149	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobaculum	NA	NA	NA
Halobaculum_rubrum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/880/225/GCF_019880225.1_ASM1988022v1/GCF_019880225.1_ASM1988022v1_genomic.fna.gz	ASM1988022v1	Halobaculum rubrum	GCF_019880225.1	2872158	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobaculum	NA	NA	NA
Halobaculum_salinum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/402/875/GCF_013402875.1_ASM1340287v1/GCF_013402875.1_ASM1340287v1_genomic.fna.gz	ASM1340287v1	Halobaculum salinum	GCF_013402875.1	2743089	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobaculum	NA	NA	NA
Halobellus_ramosii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/335/GCF_024498335.1_ASM2449833v1/GCF_024498335.1_ASM2449833v1_genomic.fna.gz	ASM2449833v1	Halobellus ramosii	GCF_024498335.1	1379040	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	NA	NA	NA
Halobiforma_lacisalsi_AJ5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/975/GCF_000226975.2_ASM22697v3/GCF_000226975.2_ASM22697v3_genomic.fna.gz	ASM22697v3	Halobiforma lacisalsi AJ5	GCF_000226975.2	358396	22123770	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	Halobiforma lacisalsi	NA	NA
Halocatena_marina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/913/575/GCF_025913575.1_ASM2591357v1/GCF_025913575.1_ASM2591357v1_genomic.fna.gz	ASM2591357v1	Halocatena marina	GCF_025913575.1	2934937	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halocatena	NA	NA	NA
Halocatena_salina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/115/355/GCF_023115355.1_ASM2311535v1/GCF_023115355.1_ASM2311535v1_genomic.fna.gz	ASM2311535v1	Halocatena salina	GCF_023115355.1	2934340	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halocatena	NA	NA	NA
Halococcoides_cellulosivorans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/365/GCF_003058365.1_ASM305836v1/GCF_003058365.1_ASM305836v1_genomic.fna.gz	ASM305836v1	Halococcoides cellulosivorans	GCF_003058365.1	1679096	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halococcoides	NA	NA	NA
Halococcus_dombrowskii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/870/485/GCF_022870485.1_ASM2287048v1/GCF_022870485.1_ASM2287048v1_genomic.fna.gz	ASM2287048v1	Halococcus dombrowskii	GCF_022870485.1	179637	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	NA	NA	NA
Halococcus_qingdaonensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/508/235/GCF_024508235.1_ASM2450823v1/GCF_024508235.1_ASM2450823v1_genomic.fna.gz	ASM2450823v1	Halococcus qingdaonensis	GCF_024508235.1	224402	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	NA	NA	NA
Halodesulfurarchaeum_formicicum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/955/GCF_001886955.1_ASM188695v1/GCF_001886955.1_ASM188695v1_genomic.fna.gz	ASM188695v1	Halodesulfurarchaeum formicicum	GCF_001886955.1	1873524	28106880	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	NA	NA	NA
Haloferax_alexandrinus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/692/905/GCF_010692905.1_ASM1069290v1/GCF_010692905.1_ASM1069290v1_genomic.fna.gz	ASM1069290v1	Haloferax alexandrinus	GCF_010692905.1	114529	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA	NA
Haloferax_gibbonsii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/965/GCF_001190965.1_ASM119096v1/GCF_001190965.1_ASM119096v1_genomic.fna.gz	ASM119096v1	Haloferax gibbonsii	GCF_001190965.1	35746	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA	NA
Haloferax_larsenii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/730/625/GCF_024730625.1_ASM2473062v1/GCF_024730625.1_ASM2473062v1_genomic.fna.gz	ASM2473062v1	Haloferax larsenii	GCF_024730625.1	302484	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA	NA
Haloferax_lucentense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/225/785/GCF_029225785.1_ASM2922578v1/GCF_029225785.1_ASM2922578v1_genomic.fna.gz	ASM2922578v1	Haloferax lucentense	GCF_029225785.1	2254	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA	NA
Haloferax_mediterranei_ATCC_33500	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/406/325/GCF_005406325.1_ASM540632v1/GCF_005406325.1_ASM540632v1_genomic.fna.gz	ASM540632v1	Haloferax mediterranei ATCC 33500	GCF_005406325.1	523841	31270201	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei	NA	NA
Haloferax_volcanii_DS2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/685/GCF_000025685.1_ASM2568v1/GCF_000025685.1_ASM2568v1_genomic.fna.gz	ASM2568v1	Haloferax volcanii DS2	GCF_000025685.1	309800	20333302	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax volcanii	NA	NA
Halogeometricum_borinquense_DSM_11551	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/995/GCF_000172995.2_ASM17299v2/GCF_000172995.2_ASM17299v2_genomic.fna.gz	ASM17299v2	Halogeometricum borinquense DSM 11551	GCF_000172995.2	469382	21304651	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	NA	NA
Halohasta_litchfieldiae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/788/215/GCF_002788215.1_ASM278821v1/GCF_002788215.1_ASM278821v1_genomic.fna.gz	ASM278821v1	Halohasta litchfieldiae	GCF_002788215.1	1073996	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halohasta	NA	NA	NA
Halomicrobium_mukohataei_DSM_12286	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/965/GCF_000023965.1_ASM2396v1/GCF_000023965.1_ASM2396v1_genomic.fna.gz	ASM2396v1	Halomicrobium mukohataei DSM 12286	GCF_000023965.1	485914	21304667	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei	NA	NA
Halomicrobium_salinisoli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/185/GCF_020405185.1_ASM2040518v1/GCF_020405185.1_ASM2040518v1_genomic.fna.gz	ASM2040518v1	Halomicrobium salinisoli	GCF_020405185.1	2878391	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	NA	NA	NA
Halopenitus_persicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/635/GCF_002355635.1_ASM235563v1/GCF_002355635.1_ASM235563v1_genomic.fna.gz	ASM235563v1	Halopenitus persicus	GCF_002355635.1	1048396	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	NA	NA	NA
